Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 14.368.789 ; 14,37 
2014-12; 14.463.964 ; 14,46 
2015-03; 15.768.524 ; 15,77 
2015-06; 17.736.223 ; 17,74 
2015-09; 19.213.744 ; 19,21 
2015-12; 20.319.840 ; 20,32 
2016-03; 21.131.507 ; 21,13 
2016-06; 21.668.072 ; 21,67 
2016-09; 21.671.541 ; 21,67 
2016-12; 17.116.310 ; 17,12 
2017-03; 16.489.107 ; 16,49 
2017-06; 15.340.214 ; 15,34 
2017-09; 15.266.852 ; 15,27 
2017-12; 14.364.166 ; 14,36 
2018-03; 15.848.416 ; 15,85 
2018-06; 14.079.021 ; 14,08 
2018-09; 12.958.022 ; 12,96 
2018-12; 12.699.693 ; 12,70 
2019-03; 12.733.190 ; 12,73 
2019-06; 11.101.761 ; 11,10 
2019-09; 11.388.696 ; 11,39 
2019-12; 10.636.286 ; 10,64 
2020-03; 12.193.558 ; 12,19 
2020-06; 13.001.774 ; 13,00 
2020-09; 17.082.541 ; 17,08 
